,time,size,src,dst,protocol
169,1541358731.2231946,420,52.94.227.146,192.168.86.40,6
170,1541358731.2228906,158,192.168.86.40,52.94.227.146,6
171,1541358731.22261,40,52.94.227.146,192.168.86.40,6
172,1541358731.2223284,40,52.94.227.146,192.168.86.40,6
173,1541358731.2220495,40,52.94.227.146,192.168.86.40,6
174,1541358731.2217462,158,192.168.86.40,52.94.227.146,6
175,1541358731.2214415,158,192.168.86.40,52.94.227.146,6
176,1541358731.2211237,158,192.168.86.40,52.94.227.146,6
177,1541358731.2207696,158,192.168.86.40,52.94.227.146,6
178,1541358731.2204359,40,52.94.227.146,192.168.86.40,6
179,1541358731.2201567,40,52.94.227.146,192.168.86.40,6
180,1541358731.2198408,40,52.94.227.146,192.168.86.40,6
181,1541358731.2195137,158,192.168.86.40,52.94.227.146,6
182,1541358731.2192361,40,52.94.227.146,192.168.86.40,6
183,1541358731.2189386,158,192.168.86.40,52.94.227.146,6
184,1541358731.2186375,158,192.168.86.40,52.94.227.146,6
185,1541358731.2183592,40,52.94.227.146,192.168.86.40,6
186,1541358731.218026,158,192.168.86.40,52.94.227.146,6
187,1541358731.217743,40,52.94.227.146,192.168.86.40,6
188,1541358731.2174664,40,52.94.227.146,192.168.86.40,6
189,1541358731.217166,158,192.168.86.40,52.94.227.146,6
190,1541358731.2168653,158,192.168.86.40,52.94.227.146,6
191,1541358731.2165623,158,192.168.86.40,52.94.227.146,6
192,1541358731.2162616,158,192.168.86.40,52.94.227.146,6
193,1541358731.2159786,40,52.94.227.146,192.168.86.40,6
194,1541358731.2156386,40,52.94.227.146,192.168.86.40,6
195,1541358731.2152803,40,52.94.227.146,192.168.86.40,6
196,1541358731.2149792,158,192.168.86.40,52.94.227.146,6
197,1541358731.2146914,40,52.94.227.146,192.168.86.40,6
198,1541358731.2143605,158,192.168.86.40,52.94.227.146,6
199,1541358731.214047,158,192.168.86.40,52.94.227.146,6
200,1541358731.213746,40,52.94.227.146,192.168.86.40,6
201,1541358731.2134433,158,192.168.86.40,52.94.227.146,6
202,1541358731.2131233,40,52.94.227.146,192.168.86.40,6
203,1541358731.2128398,40,52.94.227.146,192.168.86.40,6
204,1541358731.21256,40,52.94.227.146,192.168.86.40,6
205,1541358731.2122626,158,192.168.86.40,52.94.227.146,6
206,1541358731.2119524,158,192.168.86.40,52.94.227.146,6
207,1541358731.2116487,158,192.168.86.40,52.94.227.146,6
208,1541358731.2113433,158,192.168.86.40,52.94.227.146,6
209,1541358731.2110648,40,52.94.227.146,192.168.86.40,6
210,1541358731.2107706,40,52.94.227.146,192.168.86.40,6
211,1541358731.210455,40,52.94.227.146,192.168.86.40,6
212,1541358731.2101216,40,52.94.227.146,192.168.86.40,6
213,1541358731.2098439,40,52.94.227.146,192.168.86.40,6
214,1541358731.2095478,158,192.168.86.40,52.94.227.146,6
215,1541358731.2092407,158,192.168.86.40,52.94.227.146,6
216,1541358731.2089374,158,192.168.86.40,52.94.227.146,6
217,1541358731.208633,158,192.168.86.40,52.94.227.146,6
218,1541358731.2083519,40,52.94.227.146,192.168.86.40,6
219,1541358731.208001,158,192.168.86.40,52.94.227.146,6
220,1541358731.2076757,158,192.168.86.40,52.94.227.146,6
221,1541358731.2073689,158,192.168.86.40,52.94.227.146,6
222,1541358731.2070582,158,192.168.86.40,52.94.227.146,6
223,1541358731.2067473,40,52.94.227.146,192.168.86.40,6
224,1541358731.2064676,40,52.94.227.146,192.168.86.40,6
225,1541358731.2061677,158,192.168.86.40,52.94.227.146,6
226,1541358731.2058668,158,192.168.86.40,52.94.227.146,6
227,1541358731.205517,158,192.168.86.40,52.94.227.146,6
228,1541358731.2052321,40,52.94.227.146,192.168.86.40,6
229,1541358731.2048736,158,192.168.86.40,52.94.227.146,6
230,1541358731.2045858,40,52.94.227.146,192.168.86.40,6
231,1541358731.204288,158,192.168.86.40,52.94.227.146,6
232,1541358731.2039852,158,192.168.86.40,52.94.227.146,6
233,1541358731.203685,158,192.168.86.40,52.94.227.146,6
234,1541358731.2033954,40,52.94.227.146,192.168.86.40,6
235,1541358731.2030873,158,192.168.86.40,52.94.227.146,6
236,1541358731.202778,40,52.94.227.146,192.168.86.40,6
237,1541358731.2024767,158,192.168.86.40,52.94.227.146,6
238,1541358731.2021704,158,192.168.86.40,52.94.227.146,6
239,1541358731.2018645,158,192.168.86.40,52.94.227.146,6
240,1541358731.201585,40,52.94.227.146,192.168.86.40,6
241,1541358731.2012818,158,192.168.86.40,52.94.227.146,6
242,1541358731.2009785,40,52.94.227.146,192.168.86.40,6
243,1541358731.200665,158,192.168.86.40,52.94.227.146,6
244,1541358731.2003121,158,192.168.86.40,52.94.227.146,6
245,1541358731.2000043,158,192.168.86.40,52.94.227.146,6
246,1541358731.199672,40,52.94.227.146,192.168.86.40,6
247,1541358731.1993716,158,192.168.86.40,52.94.227.146,6
248,1541358731.1990876,40,52.94.227.146,192.168.86.40,6
249,1541358731.1987598,158,192.168.86.40,52.94.227.146,6
250,1541358731.1984613,158,192.168.86.40,52.94.227.146,6
251,1541358731.1981637,158,192.168.86.40,52.94.227.146,6
252,1541358731.1978574,40,52.94.227.146,192.168.86.40,6
253,1541358731.1975386,158,192.168.86.40,52.94.227.146,6
254,1541358731.1972625,40,52.94.227.146,192.168.86.40,6
255,1541358731.1969607,158,192.168.86.40,52.94.227.146,6
256,1541358731.196654,158,192.168.86.40,52.94.227.146,6
257,1541358731.1963696,40,52.94.227.146,192.168.86.40,6
258,1541358731.19607,158,192.168.86.40,52.94.227.146,6
259,1541358731.1957664,158,192.168.86.40,52.94.227.146,6
260,1541358731.1954863,40,52.94.227.146,192.168.86.40,6
261,1541358731.1951275,158,192.168.86.40,52.94.227.146,6
262,1541358731.1948245,158,192.168.86.40,52.94.227.146,6
263,1541358731.1944664,158,192.168.86.40,52.94.227.146,6
264,1541358731.194163,158,192.168.86.40,52.94.227.146,6
265,1541358731.1938787,40,52.94.227.146,192.168.86.40,6
266,1541358731.1935754,82,52.94.227.146,192.168.86.40,6
267,1541358731.1932979,40,52.94.227.146,192.168.86.40,6
268,1541358731.1930196,40,52.94.227.146,192.168.86.40,6
269,1541358731.1926687,158,192.168.86.40,52.94.227.146,6
270,1541358731.1923604,158,192.168.86.40,52.94.227.146,6
271,1541358731.192073,40,52.94.227.146,192.168.86.40,6
272,1541358731.1917727,158,192.168.86.40,52.94.227.146,6
273,1541358731.1914737,158,192.168.86.40,52.94.227.146,6
274,1541358731.1911547,158,192.168.86.40,52.94.227.146,6
275,1541358731.1908543,158,192.168.86.40,52.94.227.146,6
276,1541358731.1905787,40,52.94.227.146,192.168.86.40,6
277,1541358731.1902592,40,52.94.227.146,192.168.86.40,6
278,1541358731.1899405,158,192.168.86.40,52.94.227.146,6
279,1541358731.1896243,158,192.168.86.40,52.94.227.146,6
280,1541358731.1893003,40,52.94.227.146,192.168.86.40,6
281,1541358731.1890252,40,52.94.227.146,192.168.86.40,6
282,1541358731.1887422,40,52.94.227.146,192.168.86.40,6
283,1541358731.1884542,40,52.94.227.146,192.168.86.40,6
284,1541358731.1881533,158,192.168.86.40,52.94.227.146,6
285,1541358731.1878498,158,192.168.86.40,52.94.227.146,6
286,1541358731.1875052,158,192.168.86.40,52.94.227.146,6
287,1541358731.1871808,158,192.168.86.40,52.94.227.146,6
288,1541358731.1869004,40,52.94.227.146,192.168.86.40,6
289,1541358731.1866198,40,52.94.227.146,192.168.86.40,6
290,1541358731.1863306,40,52.94.227.146,192.168.86.40,6
291,1541358731.1860301,158,192.168.86.40,52.94.227.146,6
292,1541358731.1857517,40,52.94.227.146,192.168.86.40,6
293,1541358731.1854534,158,192.168.86.40,52.94.227.146,6
294,1541358731.1851156,158,192.168.86.40,52.94.227.146,6
295,1541358731.1848023,158,192.168.86.40,52.94.227.146,6
296,1541358731.1845024,40,52.94.227.146,192.168.86.40,6
297,1541358731.1841252,40,52.94.227.146,192.168.86.40,6
298,1541358731.183845,40,52.94.227.146,192.168.86.40,6
299,1541358731.183564,40,52.94.227.146,192.168.86.40,6
300,1541358731.1832635,158,192.168.86.40,52.94.227.146,6
301,1541358731.182966,158,192.168.86.40,52.94.227.146,6
302,1541358731.1826682,158,192.168.86.40,52.94.227.146,6
303,1541358731.182326,158,192.168.86.40,52.94.227.146,6
304,1541358731.1820428,40,52.94.227.146,192.168.86.40,6
305,1541358731.1817622,40,52.94.227.146,192.168.86.40,6
306,1541358731.1814706,40,52.94.227.146,192.168.86.40,6
307,1541358731.1811633,158,192.168.86.40,52.94.227.146,6
308,1541358731.1808066,40,52.94.227.146,192.168.86.40,6
309,1541358731.1805015,158,192.168.86.40,52.94.227.146,6
310,1541358731.1801937,158,192.168.86.40,52.94.227.146,6
311,1541358731.1798608,40,52.94.227.146,192.168.86.40,6
312,1541358731.1795502,158,192.168.86.40,52.94.227.146,6
313,1541358731.179245,40,52.94.227.146,192.168.86.40,6
314,1541358731.1783957,40,52.94.227.146,192.168.86.40,6
315,1541358731.1781147,40,52.94.227.146,192.168.86.40,6
316,1541358731.177793,158,192.168.86.40,52.94.227.146,6
317,1541358731.1774292,158,192.168.86.40,52.94.227.146,6
318,1541358731.1770735,158,192.168.86.40,52.94.227.146,6
319,1541358731.1767292,158,192.168.86.40,52.94.227.146,6
320,1541358731.1764543,40,52.94.227.146,192.168.86.40,6
321,1541358731.1761775,40,52.94.227.146,192.168.86.40,6
322,1541358731.175893,40,52.94.227.146,192.168.86.40,6
323,1541358731.1756155,40,52.94.227.146,192.168.86.40,6
324,1541358731.1753173,158,192.168.86.40,52.94.227.146,6
325,1541358731.1749892,158,192.168.86.40,52.94.227.146,6
326,1541358731.1746707,158,192.168.86.40,52.94.227.146,6
327,1541358731.1743667,158,192.168.86.40,52.94.227.146,6
328,1541358731.174089,40,52.94.227.146,192.168.86.40,6
329,1541358731.1738079,40,52.94.227.146,192.168.86.40,6
330,1541358731.1735194,40,52.94.227.146,192.168.86.40,6
331,1541358731.1731913,40,52.94.227.146,192.168.86.40,6
332,1541358731.172853,158,192.168.86.40,52.94.227.146,6
333,1541358731.1725435,158,192.168.86.40,52.94.227.146,6
